0075650001;20181029;20181105;170900;UMAR;25;1
0075650002;20181121;20181127;170200;TESTING QA;30;1
0075650016;20190327;20190325;163800;ANGGA;6;1
0075650017;20190701;20190702;161000;ASEP;1;1
0075650018;20190701;20190702;161000;ASEP;1;1
0075650169;20200627;20200625;152000;AGUS-Test Shopee;1;1
0075650170;20200627;20200625;152000;AGUS-Test Shopee;1;1
0075650171;20200627;20200625;152000;AGUS-Test Shopee;2;1
0077253046;20211113;;;formalitas;4;1
0077253048;20211113;;;formalitas;4;1
0077253049;20211113;;;formalitas;4;1
0081078062;20210108;20210107;132300;ALAY;2;1
0081078063;20210108;20210107;132300;ALAY;1;1
0085511040;20170510;20170510;112800;AHMAD-SAMSUL;1;1
0085516115;20171130;20171130;120200;Test 1;10;1
0085516135;20171205;20171205;152700;Test 1;5;1
0085516136;20171208;20171208;95900;Test 1;15;1
0085516155;20180109;;;;2;0
0085516163;20180111;20180112;201500;ASEP;2;1
0085516164;20180111;20180112;201500;ASEP;5;1
0085516168;20180118;20180118;102300;Udin;23;1
0085516169;20180119;20180119;141000;Salman;200;2
0085517016;20180201;20180207;145400;Test 1;30;1
0085517017;20180206;20180207;145400;Test 1;15;1
0085518077;20180507;20180507;132900;UMAR;1;1
0085518191;20180524;20180525;101400;Test Cotton On;60;1
0085518192;20180524;20180525;101400;Test Cotton On;36;1
0085518193;20180524;20180525;101400;Test Cotton On;90;1
0085518204;20180606;20180606;115300;Test Cotton On;29;2
0085521027;20180704;20181114;145000;;51;1
0085521028;20180704;20180702;154100;Testing;30;1
0085521029;20180704;20180702;154100;Testing;50;1
0085521030;20180704;20180702;154100;Testing;50;1
0085521031;20180704;20180702;154100;Testing;50;1
0085521032;20180704;20180702;154100;Testing;50;1
0085521033;20180704;20180702;154100;Testing;50;1
0085521034;20180704;20180702;154100;Testing;50;1
0085522012;20180724;20180809;94400;;10;0
0085522017;20180724;20180809;95000;;10;0
0085524024;20190312;20190312;90600;;5;0
0085524033;20190412;;;;1;0
0085524119;20181121;20181127;165700;TESTING QA;30;1
0085524145;20190412;;;;1;0
0085524146;20190412;;;;3;0
0085524152;20190418;;;;2;0
0085524241;20190418;20190418;144100;Test;3;0
0085524244;20190423;;;;5;0
0085524313;20180921;20180920;163900;UMAR;4;1
0085524322;20181128;20181127;170800;;5;0
0085524323;20181129;20181128;105800;;5;0
0085524338;20190304;;;ASEP;300;0
0085524362;20190327;20190325;163800;ANGGA;2;1
0085524365;20190411;;;;1;0
0085524366;20190411;;;;3;0
0085524367;20190411;;;;3;0
0085524368;20190412;;;;1;0
0085524370;20190412;;;;3;0
0085524372;20190415;;;;5;0
0085524379;20190425;20190424;115500;;3;1
0085524438;20190412;;;;1;0
0085524439;20190412;;;;1;0
0085524442;20190418;20190418;141900;;5;0
0085524444;20190422;20190422;152100;Test;3;0
0085524469;20190701;20190704;160300;FORMALITAS (TESTING);1;1
0085524513;20180930;20181005;95800;UMAR;1;1
0085524630;20190315;20190315;100800;;5;0
0085524633;20190415;;;;1;0
0085524634;20190415;;;;3;0
0085524770;20190412;;;;1;0
0085524771;20190415;;;;2;0
0085524837;20190320;20190320;151300;;3;0
0085524838;20190320;20190320;151500;;6;0
0085524848;20190412;;;;1;0
0085524900;20200129;;;;5;1
0085524927;20181121;;;;35;0
0085525013;20180927;20180925;93000;SYARIF;2;1
0085525053;20190416;;;;2;0
0085525054;20190418;20190418;135900;;6;0
0085525061;20190423;;;;2;0
0085525320;20181218;20181217;160100;;5;1
0085525326;20190304;20190304;164900;Mr. QQ;500;0
0085525327;20190304;20190304;165200;Mr. QQ;500;0
0085525328;20190304;20190304;165300;Mr. QQ;500;0
0085525349;20190412;;;;1;0
